WARN   | wrapper  | 2014/06/23 17:26:54 | JVM exited unexpectedly while stopping the application.
STATUS | wrapper  | 2014/06/23 17:26:54 | <-- Wrapper Stopped
STATUS | wrapper  | 2014/06/23 17:30:11 | --> Wrapper Started as Console
STATUS | wrapper  | 2014/06/23 17:30:11 | Java Service Wrapper Community Edition 64-bit 3.5.14
STATUS | wrapper  | 2014/06/23 17:30:11 |   Copyright (C) 1999-2011 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2014/06/23 17:30:11 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2014/06/23 17:30:11 | 
STATUS | wrapper  | 2014/06/23 17:30:11 | Launching a JVM...
INFO   | jvm 1    | 2014/06/23 17:30:12 | WrapperManager: Initializing...
INFO   | jvm 1    | 2014/06/23 17:30:12 | WrapperSimpleApp Error: Class org.elasticsearch.bootstrap.ElasticsearchF found but could not be initialized: java.lang.UnsupportedClassVersionError: org/elasticsearch/bootstrap/ElasticsearchF : Unsupported major.minor version 51.0
ERROR  | wrapper  | 2014/06/23 17:30:14 | JVM exited while loading the application.
STATUS | wrapper  | 2014/06/23 17:30:14 | INT trapped.  Shutting down.
STATUS | wrapper  | 2014/06/23 17:30:14 | <-- Wrapper Stopped
STATUS | wrapper  | 2014/06/23 17:33:38 | --> Wrapper Started as Console
STATUS | wrapper  | 2014/06/23 17:33:38 | Java Service Wrapper Community Edition 64-bit 3.5.14
STATUS | wrapper  | 2014/06/23 17:33:38 |   Copyright (C) 1999-2011 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2014/06/23 17:33:38 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2014/06/23 17:33:38 | 
STATUS | wrapper  | 2014/06/23 17:33:39 | Launching a JVM...
INFO   | jvm 1    | 2014/06/23 17:33:39 | WrapperManager: Initializing...
INFO   | jvm 1    | 2014/06/23 17:33:40 | [2014-06-23 17:33:40,819][INFO ][node                     ] [Ikthalon] version[1.2.1], pid[9374], build[6c95b75/2014-06-03T15:02:52Z]
INFO   | jvm 1    | 2014/06/23 17:33:40 | [2014-06-23 17:33:40,820][INFO ][node                     ] [Ikthalon] initializing ...
INFO   | jvm 1    | 2014/06/23 17:33:40 | [2014-06-23 17:33:40,839][INFO ][plugins                  ] [Ikthalon] loaded [], sites [rtf]
INFO   | jvm 1    | 2014/06/23 17:33:46 | [2014-06-23 17:33:46,440][INFO ][node                     ] [Ikthalon] initialized
INFO   | jvm 1    | 2014/06/23 17:33:46 | [2014-06-23 17:33:46,441][INFO ][node                     ] [Ikthalon] starting ...
INFO   | jvm 1    | 2014/06/23 17:33:46 | [2014-06-23 17:33:46,620][INFO ][transport                ] [Ikthalon] bound_address {inet[/0.0.0.0:9300]}, publish_address {inet[/10.144.175.190:9300]}
INFO   | jvm 1    | 2014/06/23 17:33:49 | [2014-06-23 17:33:49,695][INFO ][cluster.service          ] [Ikthalon] new_master [Ikthalon][vAMTMVnoRz2ggL4aZTzX4Q][AY140617140935903c0fZ][inet[/10.144.175.190:9300]], reason: zen-disco-join (elected_as_master)
INFO   | jvm 1    | 2014/06/23 17:33:49 | [2014-06-23 17:33:49,767][INFO ][discovery                ] [Ikthalon] elasticsearch/vAMTMVnoRz2ggL4aZTzX4Q
INFO   | jvm 1    | 2014/06/23 17:33:50 | [2014-06-23 17:33:49,930][INFO ][http                     ] [Ikthalon] bound_address {inet[/0.0.0.0:9200]}, publish_address {inet[/10.144.175.190:9200]}
INFO   | jvm 1    | 2014/06/23 17:33:50 | [2014-06-23 17:33:49,990][INFO ][gateway                  ] [Ikthalon] recovered [0] indices into cluster_state
INFO   | jvm 1    | 2014/06/23 17:33:50 | [2014-06-23 17:33:49,991][INFO ][node                     ] [Ikthalon] started
STATUS | wrapper  | 2014/06/23 17:35:31 | INT trapped.  Shutting down.
INFO   | jvm 1    | 2014/06/23 17:35:32 | [2014-06-23 17:35:32,287][INFO ][node                     ] [Ikthalon] stopping ...
INFO   | jvm 1    | 2014/06/23 17:35:32 | [2014-06-23 17:35:32,336][INFO ][node                     ] [Ikthalon] stopped
INFO   | jvm 1    | 2014/06/23 17:35:32 | [2014-06-23 17:35:32,336][INFO ][node                     ] [Ikthalon] closing ...
INFO   | jvm 1    | 2014/06/23 17:35:32 | [2014-06-23 17:35:32,354][INFO ][node                     ] [Ikthalon] closed
STATUS | wrapper  | 2014/06/23 17:35:32 | INT trapped.  Forcing immediate shutdown.
STATUS | wrapper  | 2014/06/23 17:35:32 | <-- Wrapper Stopped
STATUS | wrapper  | 2014/06/23 17:38:39 | --> Wrapper Started as Console
STATUS | wrapper  | 2014/06/23 17:38:39 | Java Service Wrapper Community Edition 64-bit 3.5.14
